Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-06-16,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,18.6
2023-06-16,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,19.7
2023-06-16,WIGRY,Jez. Wigry,podlaskie,19.4
2023-06-16,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,19.7
2023-06-16,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,18.0
2023-06-16,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,20.8
2023-06-16,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-06-16,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,19.8
2023-06-16,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,15.8
2023-06-16,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,11.2
2023-06-16,USTKA,Morze Bałtyckie,pomorskie,12.5
2023-06-16,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-16,HEL,Morze Bałtyckie,pomorskie,15.2
2023-06-16,PUCK,Morze Bałtyckie,pomorskie,19.0
2023-06-16,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,19.7
2023-06-16,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-16,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,20.0
2023-06-16,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-06-16,DADAJ,Jez. Dadaj,warmińsko-mazurskie,18.9
2023-06-16,GARDNA WIELKA,Jez. Gardno,pomorskie,16.1
2023-06-16,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,18.0
2023-06-16,IZBICA,Jez. Łebsko,pomorskie,18.2
2023-06-16,SIKORY,Jez. Komorze,zachodniopomorskie,21.6
2023-06-16,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,19.0
2023-06-16,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,19.4
2023-06-16,IŃSKO,Jez. Ińsko,zachodniopomorskie,19.6
2023-06-16,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,20.8
2023-06-16,BUNTOWO,Jez. Sławianowskie,wielkopolskie,20.9
2023-06-16,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,20.5
2023-06-16,JASIEŃ,Jez. Jasień Pd.,pomorskie,19.4
2023-06-16,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,20.3
2023-06-16,JEZIORNA,Jez. Wdzydze,pomorskie,19.3
2023-06-16,CHARZYKOWY,Jez. Charzykowskie,pomorskie,20.4
2023-06-16,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,19.8
2023-06-16,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,20.7
2023-06-16,PRZEŁAZY,Jez. Niesłysz,lubuskie,20.8
2023-06-16,RADZYŃ,Jez. Sławskie,lubuskie,20.6
2023-06-16,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,20.0
2023-06-16,POWIDZ,Jez. Powidzkie,wielkopolskie,19.8
2023-06-16,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,22.0
2023-06-16,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,21.0
2023-06-16,BORUCINO,Jez. Raduńskie Górne,pomorskie,17.9
2023-06-17,EŁK,Jez. Ełckie,warmińsko-mazurskie,20.5
2023-06-17,BORKI,Jez. Litygajno,warmińsko-mazurskie,20.6
2023-06-17,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,20.7
2023-06-17,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,20.4
2023-06-17,MALDANIN,Jez. Roś,warmińsko-mazurskie,19.1
2023-06-17,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.0
2023-06-17,WRÓBEL,Jez. Hańcza,podlaskie,19.6
2023-06-17,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,20.2
2023-06-17,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,20.3
2023-06-17,WIGRY,Jez. Wigry,podlaskie,20.0
2023-06-17,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,20.0
2023-06-17,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,18.7
2023-06-17,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,20.2
2023-06-17,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-06-17,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,18.4
2023-06-17,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,16.8
2023-06-17,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,12.0
2023-06-17,USTKA,Morze Bałtyckie,pomorskie,11.6
2023-06-17,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-17,HEL,Morze Bałtyckie,pomorskie,16.2
2023-06-17,PUCK,Morze Bałtyckie,pomorskie,19.7
2023-06-17,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,20.3
2023-06-17,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-17,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,20.7
2023-06-17,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-06-17,DADAJ,Jez. Dadaj,warmińsko-mazurskie,20.1
2023-06-17,GARDNA WIELKA,Jez. Gardno,pomorskie,18.2
2023-06-17,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,18.8
2023-06-17,IZBICA,Jez. Łebsko,pomorskie,19.2
2023-06-17,SIKORY,Jez. Komorze,zachodniopomorskie,21.4
2023-06-17,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,19.0
2023-06-17,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,19.4
2023-06-17,IŃSKO,Jez. Ińsko,zachodniopomorskie,20.0
2023-06-17,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,20.4
2023-06-17,BUNTOWO,Jez. Sławianowskie,wielkopolskie,21.6
2023-06-17,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,20.6
2023-06-17,JASIEŃ,Jez. Jasień Pd.,pomorskie,20.6
2023-06-17,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,20.0
2023-06-17,JEZIORNA,Jez. Wdzydze,pomorskie,19.9
2023-06-17,CHARZYKOWY,Jez. Charzykowskie,pomorskie,20.7
2023-06-17,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,20.2
2023-06-17,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,20.5
2023-06-17,PRZEŁAZY,Jez. Niesłysz,lubuskie,20.8
2023-06-17,RADZYŃ,Jez. Sławskie,lubuskie,20.8
2023-06-17,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,21.4
2023-06-17,POWIDZ,Jez. Powidzkie,wielkopolskie,brak danych
2023-06-17,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,22.2
2023-06-17,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,21.4
2023-06-17,BORUCINO,Jez. Raduńskie Górne,pomorskie,19.2
2023-06-18,EŁK,Jez. Ełckie,warmińsko-mazurskie,20.3
2023-06-18,BORKI,Jez. Litygajno,warmińsko-mazurskie,20.4
2023-06-18,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,20.9
2023-06-18,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,20.8
2023-06-18,MALDANIN,Jez. Roś,warmińsko-mazurskie,19.2
2023-06-18,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.0
2023-06-18,WRÓBEL,Jez. Hańcza,podlaskie,19.4
2023-06-18,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,19.8
2023-06-18,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,20.1
2023-06-18,WIGRY,Jez. Wigry,podlaskie,brak danych
2023-06-18,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,20.6
2023-06-18,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,18.4
2023-06-18,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,20.3
2023-06-18,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-06-18,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,19.0
2023-06-18,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,16.8
2023-06-18,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,13.7
2023-06-18,USTKA,Morze Bałtyckie,pomorskie,11.7
2023-06-18,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-18,HEL,Morze Bałtyckie,pomorskie,15.3
2023-06-18,PUCK,Morze Bałtyckie,pomorskie,19.8
2023-06-18,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,19.8
2023-06-18,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-18,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-06-18,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,20.1
2023-06-18,DADAJ,Jez. Dadaj,warmińsko-mazurskie,19.7
2023-06-18,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,20.0
2023-06-18,GARDNA WIELKA,Jez. Gardno,pomorskie,18.0
2023-06-18,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,18.6
2023-06-18,IZBICA,Jez. Łebsko,pomorskie,20.0
2023-06-18,SIKORY,Jez. Komorze,zachodniopomorskie,21.0
2023-06-18,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,19.0
2023-06-18,IŃSKO,Jez. Ińsko,zachodniopomorskie,20.2
2023-06-18,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,20.3
2023-06-18,BUNTOWO,Jez. Sławianowskie,wielkopolskie,21.2
2023-06-18,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,20.8
2023-06-18,JASIEŃ,Jez. Jasień Pd.,pomorskie,20.4
2023-06-18,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,19.6
2023-06-18,JEZIORNA,Jez. Wdzydze,pomorskie,20.3
2023-06-18,BORUCINO,Jez. Raduńskie Górne,pomorskie,19.3
2023-06-18,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,22.2
2023-06-18,POWIDZ,Jez. Powidzkie,wielkopolskie,brak danych
2023-06-18,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,20.8
2023-06-18,RADZYŃ,Jez. Sławskie,lubuskie,21.2
2023-06-18,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,21.6
2023-06-18,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,20.9
2023-06-18,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,20.4
2023-06-18,CHARZYKOWY,Jez. Charzykowskie,pomorskie,20.8
2023-06-18,PRZEŁAZY,Jez. Niesłysz,lubuskie,20.6
2023-06-19,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,20.6
2023-06-19,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,20.0
2023-06-19,WRÓBEL,Jez. Hańcza,podlaskie,19.6
2023-06-19,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.0
2023-06-19,WIGRY,Jez. Wigry,podlaskie,20.0
2023-06-19,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,20.4
2023-06-19,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,20.2
2023-06-19,BORKI,Jez. Litygajno,warmińsko-mazurskie,20.4
2023-06-19,EŁK,Jez. Ełckie,warmińsko-mazurskie,20.5
2023-06-19,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,20.5
2023-06-19,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-19,MALDANIN,Jez. Roś,warmińsko-mazurskie,19.3
2023-06-19,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-06-19,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,19.4
2023-06-19,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,18.6
2023-06-19,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,17.8
2023-06-19,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,15.3
2023-06-19,USTKA,Morze Bałtyckie,pomorskie,13.8
2023-06-19,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-19,HEL,Morze Bałtyckie,pomorskie,16.5
2023-06-19,PUCK,Morze Bałtyckie,pomorskie,19.9
2023-06-19,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-06-19,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,21.3
2023-06-19,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,19.9
2023-06-19,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,21.3
2023-06-19,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,20.3
2023-06-19,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,20.0
2023-06-19,IZBICA,Jez. Łebsko,pomorskie,20.0
2023-06-19,SIKORY,Jez. Komorze,zachodniopomorskie,21.7
2023-06-19,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,19.2
2023-06-19,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,19.6
2023-06-19,IŃSKO,Jez. Ińsko,zachodniopomorskie,20.4
2023-06-19,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,20.8
2023-06-19,BUNTOWO,Jez. Sławianowskie,wielkopolskie,21.9
2023-06-19,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,21.0
2023-06-19,JASIEŃ,Jez. Jasień Pd.,pomorskie,21.0
2023-06-19,BORUCINO,Jez. Raduńskie Górne,pomorskie,19.9
2023-06-19,GARDNA WIELKA,Jez. Gardno,pomorskie,19.7
2023-06-19,CHARZYKOWY,Jez. Charzykowskie,pomorskie,21.2
2023-06-19,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,20.4
2023-06-19,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,20.1
2023-06-19,PRZEŁAZY,Jez. Niesłysz,lubuskie,21.0
2023-06-19,RADZYŃ,Jez. Sławskie,lubuskie,21.2
2023-06-19,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,21.6
2023-06-19,POWIDZ,Jez. Powidzkie,wielkopolskie,20.0
2023-06-19,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,22.2
2023-06-19,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,22.4
2023-06-19,DADAJ,Jez. Dadaj,warmińsko-mazurskie,20.1
2023-06-19,JEZIORNA,Jez. Wdzydze,pomorskie,20.3
2023-06-20,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,22.3
2023-06-20,EŁK,Jez. Ełckie,warmińsko-mazurskie,22.3
2023-06-20,BORKI,Jez. Litygajno,warmińsko-mazurskie,20.8
2023-06-20,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,21.0
2023-06-20,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,21.4
2023-06-20,WIGRY,Jez. Wigry,podlaskie,21.2
2023-06-20,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.1
2023-06-20,WRÓBEL,Jez. Hańcza,podlaskie,20.6
2023-06-20,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,22.5
2023-06-20,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,21.2
2023-06-20,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-20,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,17.8
2023-06-20,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-06-20,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,20.8
2023-06-20,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,18.8
2023-06-20,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,15.4
2023-06-20,USTKA,Morze Bałtyckie,pomorskie,13.7
2023-06-20,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-20,HEL,Morze Bałtyckie,pomorskie,19.1
2023-06-20,PUCK,Morze Bałtyckie,pomorskie,20.5
2023-06-20,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-06-20,MALDANIN,Jez. Roś,warmińsko-mazurskie,21.1
2023-06-20,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,21.4
2023-06-20,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,21.2
2023-06-20,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,21.4
2023-06-20,GARDNA WIELKA,Jez. Gardno,pomorskie,20.9
2023-06-20,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,21.4
2023-06-20,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,brak danych
2023-06-20,IZBICA,Jez. Łebsko,pomorskie,22.0
2023-06-20,SIKORY,Jez. Komorze,zachodniopomorskie,22.4
2023-06-20,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,21.2
2023-06-20,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,21.6
2023-06-20,IŃSKO,Jez. Ińsko,zachodniopomorskie,20.8
2023-06-20,BUNTOWO,Jez. Sławianowskie,wielkopolskie,brak danych
2023-06-20,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,21.0
2023-06-20,JASIEŃ,Jez. Jasień Pd.,pomorskie,21.6
2023-06-20,BORUCINO,Jez. Raduńskie Górne,pomorskie,20.3
2023-06-20,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,21.6
2023-06-20,CHARZYKOWY,Jez. Charzykowskie,pomorskie,22.0
2023-06-20,JEZIORNA,Jez. Wdzydze,pomorskie,21.8
2023-06-20,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,22.6
2023-06-20,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,22.8
2023-06-20,POWIDZ,Jez. Powidzkie,wielkopolskie,23.5
2023-06-20,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,24.6
2023-06-20,DADAJ,Jez. Dadaj,warmińsko-mazurskie,21.3
2023-06-20,PRZEŁAZY,Jez. Niesłysz,lubuskie,21.4
2023-06-20,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,21.3
2023-06-20,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,22.0
2023-06-20,RADZYŃ,Jez. Sławskie,lubuskie,21.4
2023-06-21,BORKI,Jez. Litygajno,warmińsko-mazurskie,22.0
2023-06-21,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,22.3
2023-06-21,MALDANIN,Jez. Roś,warmińsko-mazurskie,22.2
2023-06-21,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,22.0
2023-06-21,WRÓBEL,Jez. Hańcza,podlaskie,22.5
2023-06-21,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.4
2023-06-21,WIGRY,Jez. Wigry,podlaskie,22.9
2023-06-21,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,22.4
2023-06-21,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,22.4
2023-06-21,EŁK,Jez. Ełckie,warmińsko-mazurskie,22.4
2023-06-21,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,22.5
2023-06-21,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,23.5
2023-06-21,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-21,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,21.2
2023-06-21,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,21.8
2023-06-21,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,19.0
2023-06-21,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,18.2
2023-06-21,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,15.2
2023-06-21,USTKA,Morze Bałtyckie,pomorskie,14.5
2023-06-21,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-21,PUCK,Morze Bałtyckie,pomorskie,21.0
2023-06-21,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,22.9
2023-06-21,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,22.2
2023-06-21,HEL,Morze Bałtyckie,pomorskie,20.1
2023-06-21,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,24.2
2023-06-21,GARDNA WIELKA,Jez. Gardno,pomorskie,21.4
2023-06-21,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,23.0
2023-06-21,IZBICA,Jez. Łebsko,pomorskie,22.2
2023-06-21,SIKORY,Jez. Komorze,zachodniopomorskie,24.2
2023-06-21,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,21.2
2023-06-21,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,22.8
2023-06-21,IŃSKO,Jez. Ińsko,zachodniopomorskie,21.6
2023-06-21,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,22.5
2023-06-21,BUNTOWO,Jez. Sławianowskie,wielkopolskie,25.7
2023-06-21,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,22.6
2023-06-21,DADAJ,Jez. Dadaj,warmińsko-mazurskie,22.5
2023-06-21,BORUCINO,Jez. Raduńskie Górne,pomorskie,19.7
2023-06-21,JEZIORNA,Jez. Wdzydze,pomorskie,22.5
2023-06-21,CHARZYKOWY,Jez. Charzykowskie,pomorskie,22.6
2023-06-21,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,23.0
2023-06-21,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,21.7
2023-06-21,PRZEŁAZY,Jez. Niesłysz,lubuskie,21.8
2023-06-21,RADZYŃ,Jez. Sławskie,lubuskie,22.3
2023-06-21,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,26.0
2023-06-21,POWIDZ,Jez. Powidzkie,wielkopolskie,23.5
2023-06-21,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,24.0
2023-06-21,JASIEŃ,Jez. Jasień Pd.,pomorskie,23.8
2023-06-22,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,23.8
2023-06-22,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,23.8
2023-06-22,WIGRY,Jez. Wigry,podlaskie,23.4
2023-06-22,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,23.0
2023-06-22,WRÓBEL,Jez. Hańcza,podlaskie,20.9
2023-06-22,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,23.4
2023-06-22,MALDANIN,Jez. Roś,warmińsko-mazurskie,22.5
2023-06-22,BORKI,Jez. Litygajno,warmińsko-mazurskie,24.2
2023-06-22,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.3
2023-06-22,EŁK,Jez. Ełckie,warmińsko-mazurskie,23.9
2023-06-22,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,20.6
2023-06-22,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,23.9
2023-06-22,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-22,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,22.5
2023-06-22,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,23.0
2023-06-22,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,19.4
2023-06-22,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,17.0
2023-06-22,USTKA,Morze Bałtyckie,pomorskie,13.5
2023-06-22,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-06-22,HEL,Morze Bałtyckie,pomorskie,20.8
2023-06-22,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,22.7
2023-06-22,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,23.4
2023-06-22,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,23.0
2023-06-22,PUCK,Morze Bałtyckie,pomorskie,21.7
2023-06-22,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,23.2
2023-06-22,GARDNA WIELKA,Jez. Gardno,pomorskie,20.0
2023-06-22,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,22.4
2023-06-22,IZBICA,Jez. Łebsko,pomorskie,20.3
2023-06-22,SIKORY,Jez. Komorze,zachodniopomorskie,23.7
2023-06-22,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,20.8
2023-06-22,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,22.6
2023-06-22,IŃSKO,Jez. Ińsko,zachodniopomorskie,22.0
2023-06-22,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,23.0
2023-06-22,BUNTOWO,Jez. Sławianowskie,wielkopolskie,23.5
2023-06-22,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,22.6
2023-06-22,DADAJ,Jez. Dadaj,warmińsko-mazurskie,22.2
2023-06-22,BORUCINO,Jez. Raduńskie Górne,pomorskie,20.8
2023-06-22,JEZIORNA,Jez. Wdzydze,pomorskie,21.3
2023-06-22,CHARZYKOWY,Jez. Charzykowskie,pomorskie,22.0
2023-06-22,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,23.4
2023-06-22,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,22.1
2023-06-22,PRZEŁAZY,Jez. Niesłysz,lubuskie,22.0
2023-06-22,RADZYŃ,Jez. Sławskie,lubuskie,23.4
2023-06-22,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,25.5
2023-06-22,POWIDZ,Jez. Powidzkie,wielkopolskie,22.9
2023-06-22,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,25.2
2023-06-22,JASIEŃ,Jez. Jasień Pd.,pomorskie,22.6
2023-06-23,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,22.6
2023-06-23,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,23.2
2023-06-23,WIGRY,Jez. Wigry,podlaskie,23.2
2023-06-23,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,22.4
2023-06-23,WRÓBEL,Jez. Hańcza,podlaskie,21.6
2023-06-23,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,22.8
2023-06-23,MALDANIN,Jez. Roś,warmińsko-mazurskie,22.2
2023-06-23,BORKI,Jez. Litygajno,warmińsko-mazurskie,22.0
2023-06-23,WÓLKA,Jez. Rospuda Filipowska,podlaskie,22.4
2023-06-23,EŁK,Jez. Ełckie,warmińsko-mazurskie,23.1
2023-06-23,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,19.2
2023-06-23,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,24.0
2023-06-23,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-06-23,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,brak danych
2023-06-23,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,23.6
2023-06-23,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,brak danych
2023-06-23,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,18.0
2023-06-23,USTKA,Morze Bałtyckie,pomorskie,18.1
