Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-02,PUCK,Morze Bałtyckie,pomorskie,10.6
2023-05-02,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-02,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-02,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.6
2023-05-02,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-02,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,9.2
2023-05-02,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.1
2023-05-02,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,11.8
2023-05-02,IZBICA,Jez. Łebsko,pomorskie,11.2
2023-05-02,SIKORY,Jez. Komorze,zachodniopomorskie,12.3
2023-05-02,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,9.0
2023-05-02,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,11.6
2023-05-02,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.4
2023-05-02,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,10.8
2023-05-02,BUNTOWO,Jez. Sławianowskie,wielkopolskie,11.4
2023-05-02,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,10.0
2023-05-02,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.6
2023-05-02,GARDNA WIELKA,Jez. Gardno,pomorskie,10.4
2023-05-02,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-02,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,13.4
2023-05-02,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,11.7
2023-05-02,POWIDZ,Jez. Powidzkie,wielkopolskie,11.0
2023-05-02,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.8
2023-05-02,DADAJ,Jez. Dadaj,warmińsko-mazurskie,9.5
2023-05-02,PRZEŁAZY,Jez. Niesłysz,lubuskie,11.6
2023-05-02,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,10.8
2023-05-02,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-02,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-02,RADZYŃ,Jez. Sławskie,lubuskie,12.3
2023-05-03,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,11.1
2023-05-03,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,12.8
2023-05-03,WRÓBEL,Jez. Hańcza,podlaskie,5.1
2023-05-03,WÓLKA,Jez. Rospuda Filipowska,podlaskie,8.8
2023-05-03,WIGRY,Jez. Wigry,podlaskie,10.6
2023-05-03,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,11.9
2023-05-03,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,11.4
2023-05-03,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-03,EŁK,Jez. Ełckie,warmińsko-mazurskie,10.7
2023-05-03,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,11.0
2023-05-03,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-03,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,9.8
2023-05-03,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-03,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,8.9
2023-05-03,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,11.3
2023-05-03,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-03,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,11.1
2023-05-03,USTKA,Morze Bałtyckie,pomorskie,10.9
2023-05-03,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,8.9
2023-05-03,HEL,Morze Bałtyckie,pomorskie,7.9
2023-05-03,PUCK,Morze Bałtyckie,pomorskie,10.6
2023-05-03,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-03,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,13.1
2023-05-03,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.6
2023-05-03,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-03,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,9.2
2023-05-03,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,11.8
2023-05-03,IZBICA,Jez. Łebsko,pomorskie,11.2
2023-05-03,SIKORY,Jez. Komorze,zachodniopomorskie,12.3
2023-05-03,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,9.0
2023-05-03,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,11.6
2023-05-03,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.4
2023-05-03,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,10.8
2023-05-03,BUNTOWO,Jez. Sławianowskie,wielkopolskie,11.4
2023-05-03,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,10.0
2023-05-03,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.6
2023-05-03,GARDNA WIELKA,Jez. Gardno,pomorskie,10.4
2023-05-03,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.1
2023-05-03,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-03,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-03,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,10.8
2023-05-03,PRZEŁAZY,Jez. Niesłysz,lubuskie,11.6
2023-05-03,RADZYŃ,Jez. Sławskie,lubuskie,12.3
